threshold,accuracy,precision,recall,f1,fmr,fnmr,tp,tn,fp,fn
50.0,0.5,0.5,1.0,0.6667,1.0,0.0,7515,0,7515,0
55.0,0.4998,0.4999,0.9996,0.6665,1.0,0.0004,7512,0,7515,3
60.0,0.4996,0.4998,0.9991,0.6663,0.9999,0.0009,7508,1,7514,7
65.0,0.5004,0.5002,0.9989,0.6666,0.9981,0.0011,7507,14,7501,8
70.0,0.5027,0.5014,0.9988,0.6676,0.9933,0.0012,7506,50,7465,9
75.0,0.5157,0.508,0.9981,0.6733,0.9667,0.0019,7501,250,7265,14
80.0,0.5495,0.5261,0.9971,0.6888,0.8981,0.0029,7493,766,6749,22
85.0,0.6077,0.5612,0.987,0.7155,0.7717,0.013,7417,1716,5799,98
90.0,0.6916,0.627,0.9462,0.7542,0.563,0.0538,7111,3284,4231,404
95.0,0.7442,0.7309,0.7733,0.7515,0.2848,0.2267,5811,5375,2140,1704
